Last Name,First Name,Rank,adloc,Location,Link to Google Scholar Profile,Citations (All),h-index (All),i10-index (All),Citations (Since 2021),h-index (Since 2021),i10-index (Since 2021),Last Updated
Burow,Mark,Professor,Research,Lubbock,https://scholar.google.com/citations?user=0auA760AAAAJ&hl=en&oi=ao,6621,40,76,1940,22,38,2026-09-24 20:38:02
Carson,Katherine,Instructional Assistant Professor,APT,College Station,https://scholar.google.com/citations?hl=en&user=aS7n-uIAAAAJ,202,7,6,68,4,4,2026-09-24 20:38:10
Cason,John,Associate Professor,Research,Stephenville,https://scholar.google.com/citations?hl=en&user=uvhrXE4AAAAJ,552,13,14,396,9,7,2026-09-24 20:38:15
Chandra,Ambika,Professor,Research,Dallas,https://scholar.google.com/citations?user=HLJlITsAAAAJ&hl=en&oi=ao,1440,20,51,800,15,29,2026-09-24 20:38:18
Chang,Baoxin (Bob),Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=pBjLQFUAAAAJ&hl=en,114,6,5,111,6,5,2026-09-24 20:38:24
Chavarria,Manuel,Assistant Professor,Extension,College Station,https://scholar.google.com/citations?hl=&user=VIhfMWYAAAAJ,122,5,3,89,5,3,2026-09-24 20:38:31
Cobos,Christopher,Assistant Professor,Research,Vernon,https://scholar.google.com/citations?user=lsCjJTgAAAAJ&hl=en,360,7,7,268,7,7,2026-09-24 20:38:38
Corriher-Olson,Vanessa A.,Professor,Extension,Overton,https://scholar.google.com/citations?user=_KY1q1AAAAAJ&hl=en&oi=ao,133,6,5,44,4,2,2026-09-24 20:38:44
da Silva,Jorge,Professor,Research,Weslaco,https://scholar.google.com/citations?user=Glce_CEAAAAJ&hl=en&oi=ao,5716,34,87,1882,22,48,2026-09-24 20:38:48
Deng,Youjun,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=mpd4yWsAAAAJ&hl=en&oi=sra,3704,35,57,1517,23,47,2026-09-24 20:38:56
Dong,Xuejun,Associate Professor,Research,Uvalde,https://scholar.google.com/citations?user=jd3wW3gAAAAJ&hl=en&oi=ao,3161,29,47,1453,21,32,2026-09-24 20:39:00
Dong,Qianqian,Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=jd3wW3gAAAAJ&hl=en&oi=ao,3161,29,47,1453,21,32,2026-09-24 20:39:06
Dotray,Peter,Professor,Extension,Lubbock,https://scholar.google.com/citations?user=bqYZ2mYAAAAJ&hl=en&oi=ao,1941,23,68,710,14,24,2026-09-24 20:39:13
